xxxx;;;;;;;;;;;;;;x
YES;擁有;Oui;Ja;;S?;;;;;;;;x,
NOALLIES;沒有同盟 ;Aucun alli?Keine Verbdeten;Brak sojuszy;Ning aliado;Nessun alleato;Nincsennek sz饘ets嶲ek;Bez spojenc?;;;;;x,,,,,,,,,,,,,,,,,,
ALLIES;同盟 :;Alli廥 :;Verbdete:;Sojusze;Aliados:;Alleati:;Sz饘etts嶲esek:;Spojenci:;;;;;;x,,,,,,,,,,,,,,,,,,
SHORTCUT_SHIELD;$TAG$在此時期是一個非常有趣的選擇。單擊以選擇此國。 ;$TAG$ est un choix int廨essant pour cette p廨iode. Cliquez ici pour le s幨ectionner.;$TAG$ ist w鄣rend dieser Periode eine interessante Option. Zum Ausw鄣len anklicken.;$TAG$ to interesuj鉍y wyb鏎 w tym okresie. Kliknij, aby wybra?;$TAG$ es una interesante opci鏮 en este per甐do. Haz clic para seleccionarla.;$TAG$ ?una scelta interessante in questo periodo. Fai clic per selezionare.;$TAG$ egy 廨dekes v嫮aszt嫳 lehet ebben az id鰆zakban. Kattints r?a kijel闤廥hez.;$TAG$ je v tomto obdob?zaj璥avou volbou. Volbu potvrd癃e klepnut璥.;;;;;;x,,,,,,,,,,,,,,,,,
I Do.;讓我們開始吧 ;Allons-y;Lasst uns in den Krieg ziehen;Zr鏏my to!;Hag嫥oslo;Facciamolo;Gyerk, csin嫮juk meg!;Ud骴嫥e to;;;;;;x,,,,,,,,,,,,,,,,
Run away!;我不確定，以後再說 ;Je ne suis pas s壇. Plus tard, peut-齇re.;Wir sind uns nicht sicher;Nie mam pewno?i, mo瞠 p?niej;No estoy seguro, puede que m嫳 tarde;Non ne sono certo, magari pi?tardi;Nem vagyok benne biztos, tal嫕 k廥騸b?Nejsem si jist, mo??pozd骹i;;;;;;x,,,,,,,,,,,,,
DECWARREQDESC;宣戰是是在最後的外交努力失敗後萬不得已發動的。宣戰將影響其他國家對貴國的看法，尤其在貴國並沒有正當理由時。這也可能降低您的穩定度。您確定要這樣做？ ;D嶰larer la guerre est parfois le dernier recours de la diplomatie. D嶰larer la guerre nuira ?l'opinion que les autres pays ont de vous, surtout si vous n'avez pas de raison l嶲itime de le faire. Cela peut 嶲alement r險uire votre stabilit? 厎es-vous s壇;Eine Kriegserkl酺ung ist manchmal das letzte Mittel der Demokratie. Durch eine Kriegserkl酺ung fallen Sie im Ansehen anderer L鄚der, besonders wenn Sie keinen legitimen Grund daf惠 haben. Au絽rdem k霵nte dies zur Reduzierung Ihrer Stabilit酹 fren. M鐼hten Sie wirklich in den Krieg ziehen?;Wypowiedzenie wojny to czasami ostateczno?, kiedy zawiod?pozosta貫 dzia豉nia dyplomatyczne. Akt wypowiedzenia wojny pogorszy nasz?reputacj?w oczach innych pa雟tw, szczeg鏊nie, je?i nie ma on odpowiedniego uzasadnienia. Mo瞠 ono r窺nie?wp造n寞 na stabilno?. Czy na pewno chcesz to zrobi?;En ocasiones, la declaraci鏮 de guerra es el 莞timo recurso de la diplomacia. El acto de declarar la guerra perjudicar?la opini鏮 que tienen los dem嫳 pa疄es del tuyo, especialmente si no tienes ninguna raz鏮 leg癃ima para hacerlo. Tambi幯 puede reducir tu estabilidad. 燙eguro que quieres hacerlo?;Talvolta, una dichiarazione di guerra ?l'ultima carta da giocare in diplomazia. Una dichiarazione di guerra peggiora la tua immagine agli occhi degli altri paesi, soprattutto se non hai un motivo legittimo per farlo. Potrebbe anche ridurre la tua stabilit? Vuoi farlo davvero?;A h墎or?n嶭a az egyetlen lehet鰆嶲. A had憑enetnek k飉z霵het髊n romlik a t鉭bi 嫮lam v幨em幯ye r鏊ad, f鰈幯t akkor, ha nem is volt igazi indokod a h墎ora, ezenk癉 visszavetheti a stabilit嫳odat is. Biztos, hogy ezt akarod?;Vyhl?en?v嫮ky je n骿dy posledn?diplomatickou mo?ost? Vyhl?en?v嫮ky zhor? postoj ostatn獳h zem?k va? zemi, zejm幯a v p齶pad? 麂 k v嫮ce nem嫢e legitimn?z嫥inku. M?e klesnout i stabilita. Skute鋝?to chcete u鋱nit?;;;;;;x
IN;在;en;in;w;en;in;,;v;;;;;;x,,,,,,,,,,,,,,,,,
MORE_THAN_THREE_PROV;超過3個省份。;plus de 3 provinces.;mehr als 3 Provinzen.;wi璚ej ni?trzy prowincje;m嫳 de 3 provincias.;pi?di 3 province.;t鉭b, mint h嫫om tartom嫕yban.;v獳e ne?3 provinci獳h.;;;;;;x,,,,,,,,,,,,,,,,,
DECWARDESC;選擇此選項將允許您向你的敵人提供一項和平協議 ;S幨ectionner cette option vous permettra de faire une proposition de paix ?votre ennemi;Durch die Auswahl dieser Option bieten Sie dem Feind einen Friedensvertrag an;Wybranie tej opcji umo磧iwi zaproponowanie traktatu pokojowego nieprzyjacielowi.;Si seleccionas esta opci鏮, podr嫳 ofrecer un acuerdo de paz al enemigo;Seleziona questa opzione se vuoi proporre un trattato di pace al nemico.;Ezt a lehet鰆嶲et v嫮asztva b幧eaj嫕latot teszel az ellens嶲nek;Vyberete-li tuto mo?ost, budete moci nep齶teli nab獮nout m甏;;;;;;x,,,,,,,,,,,,,,,,,
BUILDING_YEAR;建造於$DATE$。;Construit en 即$DATE$劬.;Gebaut bis  即$DATE$劬.;Zbudowane w 即$DATE$劬.;Construido en 即$DATE$劬.;Costruisci in data: 即$DATE$劬.;夗t 即$DATE$劬.;Stav鮅 v 即$DATE$劬.;;;;;;x,,,,,,,,,,,,,,,,,,
BEFORE_START;在遊戲開始以前。 ;Avant la p廨iode trait嶪 par le jeu.;Vor Spielbeginn;Przed rozpocz璚iem gry;Anterior al per甐do hist鏎ico del juego.;Quadro temporale precedente;M嶲 a j嫢幧 kezdete el鰗t.;P鷫d 醀sov吡 r嫥cem hry.;;;;;;x,,,,,,
MIL_CONST_TIP;一個$TYPE$將於$DATE$完成。 ;L'unit?即$TYPE$劬 sera construite ici le 即$DATE$劬.;Hier wird am 即$DATE$劬 eine 即$TYPE$劬 aufgestellt.;即$TYPE$劬 zostanie sformowana 即$DATE$劬.;Aqu?se construir?un(a) 即$TYPE$劬 en 即$DATE$劬.;Qui verr?schierato: 即$TYPE$劬 in data 即$DATE$劬.;即$TYPE$劬 elk廥z廥幯ek v嫫hat?id鱀ontja: 即$DATE$劬.;即$TYPE$劬 zde bude od 即$DATE$劬.;;;;;;x,,,,,,
BUILD_CONST_TIP;一個$BUILDING$將於$DATE$完成。;La construction du b漮iment 即$BUILDING$劬 sera achev嶪 ici le 即$DATE$劬.;Hier wird am 即$DATE$劬 ein 即$BUILDING$劬 fertiggestellt.;即$BUILDING$劬 zostanie uko鎍zony 即$DATE$劬.;Aqu?se completar?un(a) 即$BUILDING$劬 en 即$DATE$劬.;Qui verr?completato: 即$BUILDING$劬 in data 即$DATE$劬.;即$BUILDING$劬 elk廥z廥幯ek v嫫hat?id鱀ontja: 即$DATE$劬.;即$BUILDING$劬 bude dokon鋀na k datu 即$DATE$劬.;;;;;;x,,,,,,
PORT;這是一個允許我們的艦隊執行任務的海軍基地。 ;Ceci est une base navale ?partir de laquelle nos flottes peuvent op廨er.;Dies ist ein Marinest愨zpunkt, von dem aus unsere Flotten operieren k霵nen.;;Esta es una base naval desde la que nuestras flotas podr嫕 actuar.;;;;;;;;;x,,,,,,
WARTAX_TIP;提高戰爭稅 ;Augmenter les imp矌s de guerre;Kriegssteuern;Na堯?podatki wojenne;Aum. imp. guerra;Aumenta le tasse di guerra;Hadiad鏦 kivet廥e;Zvednout v嫮e鋝?dan?;;;;;x,,,,,,
INCREASED;增加 ;augment廥;verbesserten;zwi瘯szone;Aumentado;migliorate;n鰗t;vzrostly;;;;;;x,,,,,,
DECREASED;減少 ;baiss廥;verschlechterten;zmniejszone;Reducido;peggiorate;cs闥kent;klesly;;;;;;x,,,,,,
NO_ADVISORS;沒有可供服務的顧問。 ;Aucun conseiller disponible.;Kein Berater verf垐bar.;Brak dost瘼nych doradc窺;No hay consejeros disponibles.;Nessun consigliere disponibile.;Nincs el廨het?tan塶sad?;壇dn?r墂ce nen?k dispozici.;;;;;;x,,,,,,
NO_WAR_MIL_ACC;我們擁有這個國家的軍事通行權。 ;Nous disposons d'un acc鋊 militaire ?leur nation.;Wir haben Milit酺zugang f惠 ihr Land.;Zgadzaj?si?na przemarsz naszych wojsk;Tenemos acceso militar a su naci鏮.;Abbiamo accesso militare alla loro nazione.;Katonai hozz塻廨廥k van a nemzet誤h蹕;Disponujeme vojensk吡 p齶stupem na jejich 蝽em?;;;;;;x,,,,,,
NAVY_COMBAT_TOOLTIP;類型：$TYPE$\n兵力：$STR$;Type: $TYPE$ \n Puissance : $STR$;Typ: $TYPE$ \n St酺ke: $STR$;Rodzaj: $TYPE$ \n Si豉: $STR$;Tipo: $TYPE$ \n Fuerza: $STR$;Tipo: $TYPE$ \n Forza: $STR$;T甑us: $TYPE$\n Er? $STR$;Typ: $TYPE$ \n S璱a: $STR$;;;;;;x,,,,,,
ISATWAR;處於戰爭狀態時你不能要求軍事通行權. ;Vous ne pouvez pas demander un acc鋊 militaire quand vous 齇es en guerre.;Sie k霵nen nicht um Milit酺zugang bitten, wenn Sie sich im Krieg befinden.;Nie mo瞠sz prosi?o przemarsz wojsk b璠鉍 w trakcie wojny.;No se puede solicitar acceso militar mientras se est?en guerra.;Non puoi chiedere accesso militare quando sei in guerra.;Nem k廨hetsz katonai 嫢halad嫳t, ha h墎oran vagytok.;Nelze 黃dat o vojensk?p齶stup v pr鸑駩u v嫮ky.;;;;;;x,,,,
DIPLOICON_TIP;$NATION$發出的$TYPE$。\n 如果我們在$DATE$之前不予迴應則將自動拒絕。;$TYPE$ de 即$NATION$劬. \n Si nous ne r廧ondons pas avant le 即$DATE$劬 nous refuserons automatiquement.;$TYPE$ von 即$NATION$劬. \n Wenn wir nicht vor 即$DATE$劬 reagieren, werden wir automatisch ablehnen.;$TYPE$ od 即$NATION$劬. \nJe?i nie odpowiemy przed 即$DATE$劬, b璠zie to oznacza?automatyczn?odmow?;$TYPE$ desde 即$NATION$劬. \n Si no respondemos antes de 即$DATE$劬, se producir?un rechazo autom嫢ico.;$TYPE$ da 即$NATION$劬. \n Se non rispondiamo prima di: 即$DATE$劬 rinunceremo automaticamente.;$TYPE$, kdte: 即$NATION$劬. \n Ha nem v嫮aszolunk 即$DATE$劬 el鰗t, az aj嫕lat automatikusan elutas癃嫳ra ker.;$TYPE$ z 即$NATION$劬. \n Pokud neodpov璥e do 即$DATE$劬, automaticky odm癃neme.;;;;;;x
DIPLOICON_TIP_NONATION;$TYPE$。\n 如果我們在$DATE$之前不予迴應則將自動拒絕。;$TYPE$.\n Si nous ne r廧ondons pas avant le 即$DATE$劬 nous refuserons automatiquement.;$TYPE$. \n Wenn wir nicht vor 即$DATE$劬 reagieren, werden wir automatisch ablehnen.;$TYPE$. \nJe?i nie odpowiemy przed 即$DATE$劬, b璠zie to oznacza?automatyczn?odmow?;$TYPE$. \n Si no respondemos antes de 即$DATE$劬, se producir?un rechazo autom嫢ico.;$TYPE$. \n Se non rispondiamo prima di: 即$DATE$劬 rinunceremo automaticamente.;$TYPE$. \n Ha nem v嫮aszolunk 即$DATE$劬 el鰗t, az ah嫕lat automatikusan elutas癃嫳ra ker.;$TYPE$. \n Pokud neodpov璥e do 即$DATE$劬, automaticky odm癃neme.;;;;;;x,
VERY_EASY;非常簡單 ;Tr鋊 facile;Sehr einfach;Bardzo 豉twa;Muy f塶il;Molto facile;Nagyon k霵ny?Velmi snadn?;;;;;x,,,,,,
EASY;簡單;Facile;Einfach;^atwa;F塶il;Facile;K霵ny?Snadn?;;;;;x,,,,,,
NORMAL;正常 ;Normal;Normal;Normalna;Normal;Normale;Norm嫮;Norm嫮n?;;;;;x,,,,,,
HARD;困難 ;Difficile;Schwierig;Trudna ;Dif獳il;Difficile;Neh憴;T?k?;;;;;x
VERY_HARD;非常困難 ;Tr鋊 difficile;Sehr schwierig;Bardzo trudna;Muy dif獳il;Molto difficile;Nagyon neh憴;Velmi t?k?;;;;;x
NEVER;從不 ;Jamais;Nie;Nigdy;Nunca;Mai;Soha;Nikdy;;;;;;x
MONTHLY;每月 ;Mensuel;Monatlich;Co miesi鉍;Cada mes;Ogni mese;Havonta;M鮀羶n?;;;;;x
HALFYEAR;每半年 ;Semestriel;Halbes Jahr;Co p馧 roku;Semestre;Semestre;F幨憝;P灦 roku;;;;;;x
YEARLY;每年 ;Annuel;J鄣rlich;Co rok;Anual;Ogni anno;屴es;Ro鋝?;;;;;x
FIVE_YEAR;每五年 ;Cinq ans;Ff Jahre;Co pi耩 lat;Cinco a隳s;Cinque anni;珼 憝es;P鮅 let;;;;;;x
YEARS;年份 ;Ann嶪s;Jahre;Lat;A隳s;Anni;屴;Roky;;;;;;x
MONTHS;月份 ;Mois;Monate;Miesi璚y;Meses;Mesi;H鏮ap;M鮀獳e;;;;;;x
NAVAL_COMBAT;海戰 ;Combat naval;Seekampf;Bitwa morska;El combate naval;Comb. navali;Tengeri 愨k蹕et;Boj na mo鷡;;;;;;x
ATTACKER;攻擊方 ;Attaquant;Angreifer;Atakuj鉍y;Atacante;Attaccante;T嫥ad?猲o鋝璭;;;;;;x
DEFENDER;防禦方 ;D嶨enseur;Verteidiger;Broni鉍y si?Defensor;Difensore;V險?Obr嫕ce;;;;;;x
UNIT_PANEL;重整部隊 ;R廩rganiser l'unit?Einheit reorganisieren;Reorganizuj jednostk?Reorganizar unidad;Riorganizzare le unit?Egys嶲 嫢szervez廥e;Reorganizovat jednotku;;;;;;x
WEANNEX;我們要完全吞併他們。 ;Nous exigeons leur annexion totale.;Wir fordern ihre volle Annexion.;笆damy pe軟ej aneksji.;Exigimos su completa anexi鏮.;Esigiamo la loro completa annessione.;A teljes  egyes廥t k癉嫕juk.;Po肝dujeme lnou anexi.;;;;;;x
OTHERANNEX;他們要完全吞併我們。 ;L'annexion totale a 彋?exig嶪.;Volle Annexion wurde gefordert.;Za蕨dano pe軟ej aneksji.;Se ha exigido la completa anexi鏮.;?stata richiesta l'annessione.;A teljes egyes廥re val?ig幯y elkdve.;Je po肝dov嫕a ln?anexe.;;;;;;x
AGREE;同意 ;Accepter;Zustimmen;Zgoda;Acceder;Accetta;Elfogad嫳;Souhlas璥;;;;;;x
DECLINE;拒絕 ;Refuser;Ablehnen;Odm窺;Rehusar;Rifiuta;Visszautas癃嫳;Odm癃nout;;;;;;x,,,,
NOMANPOWER;我們至少需要1000強壯男性(人力)來建造本單位。 ;Nous avons besoin d'au moins 1000 hommes valides (main-d'崠vre) pour construire cette unit?;Wir brauchen mindestens 1000 f鄣ige M鄚ner (Mannst酺ke) zu Aushebung dieser Einheit.;Aby stworzy?t?jednostk? potrzebujemy przynajmniej 1000 m篹czyzn (si豉 ludzka).;Necesitamos al menos 1.000 hombres capaces (recursos humanos) para construir esta unidad.;Ci servono almeno 1000 uomini abili (manodopera) per costruire questa unit?;Legal墎b 1000 er鰆 emberre van sz誤s嶲k ennek az egys嶲nek az 廧癃廥嶭ez.;Abychom sestavili tuto jednotku, pot鷫bujeme alespo?1000 mu?.;;;;;;x
ESTIMATE_ARIVAL;將在$DATE$到達$PROV$ ;Arrivera dans la province $PROV$ le $DATE$;Kommt in $PROV$ am $DATE$ an;Przyb璠zie do prowincji $PROV$ $DATE$;Llegar?a $PROV$ el $DATE$;Arriveremo in $PROV$ in data $DATE$.;$DATE$ id鱀ontban 廨kezk $PROV$ provinci嫫a.;Doraz?do $PROV$ k datu $DATE$;;;;;;x,,,,
UNDER_SIEGE;省份被圍困! ;Province assi嶲嶪 !;Provinz wird belagert!;Prowincja jest oblegana!;.rovincia bajo asedio!;La provincia ?sotto assedio!;Egy provinci嫢 megt嫥adtak.;Provincie je v oble麂n?;;;;;;x,,,,
OCCUPIEDBY;省份被$NATION$佔領! ;La province est occup嶪 par la nation : $NATION$ !;Provinz wurde besetzt von $NATION$!;Prowincja jest okupowana przez $NATION$!;¨a provincia ha sido ocupada por $NATION$!;La provincia ?occupata da $NATION$!;A provinci嫢 $NATION$ elfoglalta!;Provincie je okupov嫕a $NATION$!;;;;;;x,,,,
OL_UNIT_MOVING;向$TARGET$移動。 ;Se d廧lace en direction de : 即$TARGET$劬.;Marschiert auf 即$TARGET$劬 zu.;Zmierza ku 即$TARGET$劬.;Desplaz嫕dose hacia 即$TARGET$劬.;In movimento verso 即$TARGET$劬.;$TARGET$ t嫥ad嫳a.;Cestuje sm鬳em 即$TARGET$劬.;;;;;;x,,,,
pti;永久未知區域 ;terra incognita permanente;Permanente Terra Incognita;sta豉 ziemia nieznana;Terra Incognita permanente;terra incognita permanente;嫮land?terra incognita;trval?terra incognita;;;;;;x,,,,
nobuilding;沒有建築物 ;nobuilding;nobuilding;brak budynk窺;nobuilding;nobuilding;nobuilding;bez staveb;;;;;;x,,,,
nogovernment;沒有政府 ;nogovernment;nogovernment;brak rz鉅u;nogovernment;nogovernment;nogovernment;bez vl墂y;;;;;;x,,,,
nogovernment_ruler;沒有政府統治者 ;nogovernment_ruler;nogovernment_ruler;nogovernment_ruler;nogovernment_ruler;nogovernment_ruler;nogovernment_ruler;bez vl墂y_vl墂ce;;;;;;x,,,,
COMBAT_MORALE;士氣 :;Moral :;Moral:;Morale:;Moral:;Morale:;Mor嫮:;Mor嫮ka:;;;;;;x,,,,
COMBAT_BREAKING;阻斷 ;Rupture;Abbruch;Ucieczka;En ruptura;Spezzare;T顤廥;Rozdrcen?;;;;;x,,,,
MAPMODE;地圖模式 ;Mode carte;Kartenmodus;Tryb mapy;Modo de mapa;Modalit?mappa;P嫮ya m鏚;Re?m mapy;;;;;;x,,,,
LEDGER_CORE;核心 ;Centrale;Kernprovinz;Prowincje narodowe;Nleo;Provincia nazionale;Mag;St鷫d;;;;;;x,,,,
LEDGER_NOT_CORE;非核心 ;Secondaire;Keine Kernprovinz;Prowincje nienarodowe;No nleo;Non nazionale;Nem mag;Okraj;;;;;;x,,,,
ACCEPT;接受 ;Accepter;Akzeptieren;Akceptuj;Aceptar;Accetta;Elfogad嫳;P鷡jmout;;;;;;x,,,,
COMBAT_ASSAULT;突擊 ;Assaut;Angriff;Szturm;Asaltar;Assalto;Ostrom;P鷫paden?;;;;;x
notechgroup;沒有科技組;notechgroup;notechgroup;brak grupy technologicznej;notechgroup;notechgroup;notechgroup;netechnologick?skupina;;;;;;x
culture_ideas;文化理念 ;culture_ideas;culture_ideas;doktryny_kulturowe;culture_ideas;culture_ideas;culture_ideas;kulturn?ideje;;;;;;x
neighbor_bonus;鄰近加成 ;Bonus voisin;Nachbarbonus;Premia s零iedzka;Bonificaci鏮 por proximidad;Bonus nazione confinante;Szomsz險s嶲i b鏮usz;Sousedsk?bonus;;;;;;x
PLAY;開始遊戲 ;JOUER;START;GRAJ;PLAY;GIOCARE;J糞屮;HRA;;;;;;x
DOMESTIC_NATION;國家 ;nation;Nation;nar鏚;naci鏮;nazione;nemzet;n嫫od;;;;;;x
DOMESTIC_RELATION;關係 ;relation;Beziehung;stosunki;relaci鏮;relazione;viszony;vztah;;;;;;x
LOST_PLR;失敗的玩家 ;Joueur perdu;Spieler abgetrennt;Gracz niedost瘼ny;Jugador perdido;Giocatore perduto;Kiesett j嫢幧os;Vylou鋱t hr摜e;;;;;;x 
SAVE_LOADED;遊戲存檔讀取完畢…… ;Sauvegarde de la partie charg嶪?Spielstand geladen ...;Wczytano zapisan?gr?..;Partida cargada...;Salvataggio caricato...;Ment廥 bet闤tve;Ulo麂n?hra byla nahr嫕a...;;;;;;x 
COMPRESS_ERROR;壓縮錯誤…… ;Erreur de compression?Kompressionsfehler ...;B章d kompresji...;Error de compresi鏮...;Errore di compressione...;T闣顤癃廥i hiba?Chyba komprimace...;;;;;;x 
MS_LOGOUT;註銷 ;D嶰onnexion;Logout;Wyloguj;Salir;Logout;Kijelentkez廥;Odhl嫳it;;;;;;x 
PW_POPULATION;人口 ;Population;Bev闤kerung ;Ludno? ;Poblaci鏮 ;Popolazione ;N廧ess嶲;Populace;;;;;;x
PW_UNITS;單位 ;Unit廥;Einheiten;Jednostki;Unidades;Unit?Egys嶲ek;Jednotky;;;;;;x
GOTO_HEADER;省份查找器 ;Rechercher une province;Provinzsuche;Wyszukiwarka prowincji;Buscador de provincias;Ricerca provincia;Provincia keres?Objevitel provincie;;;;;;x
GOTO_BOX;輸入省份名 ;Saisissez le nom de la province;Provinznamen eingeben;Wpisz nazw?prowincji;Introduce el nombre de la provincia;Immetti il nome della provincia;Add meg a provincia nev彋;Zadat jm幯o provincie;;;;;;x
GOTO_LIST_BOX;可能的省份 ;Provinces possibles;M鐷liche Provinzen;Mo磧iwe prowincje;Posibles provincias;Province possibili;El廨het?provinci嫜;Mo??provincie;;;;;;x
GOTO_CANCEL;取消 ;Annuler;Abbrechen;Anuluj;Cancelar;Annullare;M嶲se;Zru粿t;;;;;;x,,,,,
GOTO_GOTO;查看 ;Aller ?Goto;Id?do;Ir all?Andare;Ugr嫳;P鷫j癃 na;;;;;;x,,,,,
TIME_AHEAD;這項科技比現在超前$NUMBER$年，所以比較難以研發。 ;Cette technologie est de $NUMBER$ ans en avance sur son temps, elle est donc plus difficile ?atteindre.;Diese Technologie ist ihrer Zeit $NUMBER$ Jahre voraus, daher ist sie schwieriger zu erreichen.;;Esta tecnolog燰 est?a $NUMBER$ a隳s por delante de nuestro tiempo, por lo que es m嫳 dif獳il de alcanzar.;;;;;;;;;x,,,
CHAT_NONE;沒有 ;Aucun;Keine;;Nada;;;;;;;;;x,,,,,
ABANDON_GAME;放棄遊戲 ;Abandonner la partie;Spiel aufgeben;;Abandonar juego;;;;;;;;;x,,,,,
LOCAL_TRADE_INCOME_MODIFIER;地區貿易收入修正 ;Modificateur des revenus du commerce local;Modifikator - Lokales Handelseinkommen ;;Modificador por ingresos de comercio local;;;;;;;;;x,,,,,
GLOBAL_TRADE_INCOME_MODIFIER;全國貿易收入修正 ;Modificateur des revenus du commerce national;Modifikator - Nationales Handelseinkommen ;;Modificador por ingresos de comercio nacional;;;;;;;;;x,,,,,
UV_MANPOWER;人 :;Hommes :;Soldaten:;;Hombres:;;;;;;;;;x,,,,,
UV_REGIMENTS;團 :;R嶲iments :;Regimenter:;;Regimientos:;;;;;;;;;x,,,,,
NOT_BROKEN;他們的軍隊還沒被打敗。 ;M瘱e si leurs arm嶪s ne sont pas encore totalement vaincues.;Aber ihre Armeen wurden noch nie geschlagen.;;Sus ej廨citos a no est嫕 derrotados.;;;;;;;;;x,,,,,
LOG_SETTING_PAUSE;彈出窗口並暫停 ;Popup et pause;Popup und Pause;Pauza przy wyskakuj鉍ym oknie;Ventana emergente y pausa;Pausa;El鰔gr鏦 廥 szet;Rozev甏ac?okno a pauza;;;;;;x,,,,,
SM_WATER;水域 ;Effets am幨ior廥 pour l'eau;Komplexes Meer;Ulepszona woda;Aguas avanzadas;Acqua;R廥zletes v瞵 ;Voda (pro pokro鋱l?;;;;;;x,,,,,
ARMY;陸軍;Arm嶪;Armee;Armia;Ej廨cito;Esercito;Hadsereg;Arm墂a;;;;;;x,,,,,
NAVY;海軍;Marine;Flotte;Marynarka;Armada;Marina;Flotta;Flotila;;;;;;x,,,,,
CORE_IS_REVOLTER;如果反抗力量足夠強大，這些省份將復辟原來的國家或重組一個新的國家。 ;Ce pays peut 齇re cr澭 ?partir de cette province ou devenir un nouveau pays si une r憝olte y prend suffisamment d'ampleur.;Dieses Land kann aus dieser Provinz geschaffen werden oder sich durch eine Revolte befreien.;To pa雟two mo瞠 zosta?stworzone z tej prowincji lub pojawi?si?na mapie, kiedy rebelia oka瞠 si?bardzo silna.;Puede crearse este pa疄 a partir de esta provincia, o surgir como pa疄 nuevo si se produce una revuelta lo bastante fuerte.;This country may be created from this province, or appear as a new country if a revolt grows strong enough.;;Z傷彋o provincie m?e vzniknout tato zem??nebo nov?zem? jestli麂 revolta dostate鋝?zes璱?;;;;;;x
MINIMUM_REVOLT_RISK;最低反叛風險 ;Risque minimum de r憝olte;Minimales Revoltenrisiko;Minimalne ryzyko buntu;Riesgo de revuelta m璯imo;Riesgo m璯imo de rebeli鏮;Minim嫮is kock嫙at a l嫙ad嫳ra ;Minim嫮n?riziko revolty;;;;;;x,,,,,
AMBIENT;周邊環境 ;Ambiant;Ambiente;Otoczenie;Ambiente;Ambiente;K顤nyezet;Okoln?prost鷫d?;;;;;x,,,
WCRD_ATT;這是一場他們發動的戰爭。 ;C'est une guerre qu'ils ont d嶰lench嶪.;Dies ist ein Angriffskrieg.;To wojna, kt鏎?oni zacz瘭i. ;Es una guerra que ellos han empezado.;Esta es una guerra que han empezado ellos.;Ezt a h墎or 鰈 kezdt幧. ;Tuto v嫮ku za醀li oni.;;;;;;x,,
WCRD_DEF;這是一場防禦戰爭，我們必須幫助我們的盟友。 ;C'est une guerre d嶨ensive o?nous devons aider notre alli?;Dies ist ein Verteidigungskrieg.;To wojna obronna, w kt鏎ej musimy wspom鏂 naszego sojusznika. ;Es una guerra defensiva, donde tenemos que ayudar a nuestro aliado.;Esta es una guerra defensiva en la que debemos ayudar a nuestro aliado.;Ez egy v險ekez?h墎or? amiben seg癃enk kell a sz饘ets嶲eseinket. ;Toto je obrann?v嫮ka a my pot鷫bujeme pomoc na塄ho spojence.;;;;;;x
on; 打開;Activ?Ein;;S?;;;;;;;;x,,,
off;關閉;D閟activ?Aus;;No;;;;;;;;;x,,,
very easy;非常簡單;Tr鑣 Facile;Sehr einfach;;Muy f醕il;;;;;;;;;x,,,
easy;簡單;Facile;Einfach;;F醕il;;;;;;;;;x,,,
normal;正常;Normal;Normal;;Normal;;;;;;;;;x,,,
hard;困難;Difficile;Schwer;;Dif韈il;;;;;;;;;x,,,
very hard;非常困難;Tr鑣 Difficile;Sehr schwer;;Muy dif韈il;;;;;;;;;x,,,
TRIGGER_OVERLORD;君主;Seigneur;Lehensherr;;Se駉r feudal;;;;;;;;;x,,,
MILALLWEBAN_BTN3;查看;Aller ?Zeigen;Id?do;Ir all?Vai a;Ugr醩;P鴈j韙 na;;;;;;x,,,
SM_MULTISAMPLE;多樣性;Niveau de d閠ail graphique;Multisample Level;Poziom pr骲kowania;Nivel de muestra m鷏tiple;Livello multisample;T鯾bsz鰎鰏 mintav閠elez閟 szintje;趓ove?vzorkov醤?;;;;;x,,,
RESTART_REQ;需要重新啓動遊戲;Red閙arrage n閏essaire;Neustart erforderlich ;Wymaga ponownego uruchomienia gry;Se requiere reinicio;Riavvio richiesto;趈raind韙醩t ig閚yel;Po瀉dov醤 restart;;;;;;x,,,
RESTART_REQ_DESC;爲使設置生效，請重新啓動遊戲.;Vous devez red閙arrer le jeu pour que les modifications prennent effet.;Sie m黶sen das Spiel neu starten, damit die 膎derungen aktiv werden..;Aby zmiany zosta硑 wprowadzone, musisz ponownie uruchomi?gr?;Tienes que reiniciar el juego para que los cambios surtan efecto.;Devi riavviare il gioco per applicare queste modifiche.;A v醠toztat醩ok 閞v閚ybel閜閟閔ez 鷍ra kell ind韙ani a j醫閗ot.;Zm靚y se uplatn?a?po restartu hry (mus韙e restartovat hru).;;;;;;x
very_easy_player;難度：非常簡單;Niveau de difficult?: Tr鑣 facile;Schwierigkeitsstufe Sehr leicht;Bardzo 砤twy;Dificultad muy f醕il;Molto facile;Nagyon k鰊ny?Obt頌nost: velmi snadn?;;;;;x,,,
easy_player;難度：簡單;Niveau de difficult?: Facile;Schwierigkeitsstufe Leicht;^atwy;Dificultad f醕il;Facile;K鰊ny?Obt頌nost: snadn?;;;;;x,,,,,,
hard_player;難度：困難;Niveau de difficult?: Difficile;Schwierigkeitsstufe Schwer;Trudny;Dificultad dif韈il;Difficile;Neh閦;Obt頌nost: t鞛k?;;;;;x,,,,,,
